Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,R09D1.10,AH6.1,E02H1.4,F22B5.9,ZK970.6,B0491.7,C05C10.3,R03D7.1,F54D5.12,T06D8.6,x
B,vbh1,F37B12.2,K01C8.1,E02H1.6,xF42A8.2,ZK938.6,R06F6.9,C05C10.4,F52H3.1,F40F8.1,VF13D12L.1,vbh1
C,cyc1,R09D1.11,D2085.6,T15H9.6,M05D6.7,C08H9.3,C08H9.11,M106.4,B0334.8,F07A11.2,F13D12.2,cyc1
D,pap1,T19H5.1,K01C8.3,F14E5.3,T13H5.3,C08H9.4,C08H9.12,VW02B12L.1,F33A8.5,F33H1.2,F13D12.4,pap1
E,lv4440,T19H5.3,C34C6.4,F14E5.4,T21B10.2,C08H9.6,T09F3.3,W02B12.6,F54D5.1,F07A11.5,F45H10.1,lv4440
F,ubq2,D2085.1,C34C6.5,C01G6.6,M176.2,C08H9.7,C08H9.13,R53.1,C06A1.5,T01E8.3,F45H10.2,ubq2
G,let262,R134.1,F35H8.6,D2013.5,ZK970.4,C07E3.9,C08H9.14,R53.4,C14A4.3,C47D12.6,F43G6.5,let262
H,x,R134.2,C26D10.4,T14D7.1,ZK970.5,C08H9.10,F26C11.1,ZK892.2,C09H10.3,T06D8.5,Y57A10C.6,x
