Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,Y39E4A.3,K08E3.1,BE10.2,F53A2.7,Y53G8B.1,W05G11.6,K08E3.1,Y39A1A.19,C39B5.6,C44E12.1,x
B,vbh1,Y76A2B.3,K08E3.5,T27E9.1,K03H1.13,Y54F10AM.5,ZC395.10,T27E9.2,ZC395.7,Y71H2AM.16,D2063.1,vbh1
C,cyc1,Y76A2B.5,Y56A3A.3,xT27E9.2,F08F8.7,xY48G9A.8,C16C10.10,T12D8.1,Y49E10.22,K08F11.4,T05H4.4,cyc1
D,pap1,T05D4.1,F53A2.8,Y37D8A.14,K06H7.9,xY49E10.22,F10F2.2,Y43F4B.5,B0303.2,C17H12.14,x,pap1
E,lv4440,Y49E10.4,T03F6.1,Y50D7A.7,F57B9.4,xB0303.2,C34E10.6,ZK637.10,Y66D12A.23,Y41E3.4,x,lv4440
F,ubq2,Y47D3B.10,Y56A3A.19,C07A9.6,Y48A6B.9,ch2p1-8,F01F1.12,ZK1058.1,Y22D7AL.14,Y38F2AL.4,x,ubq2
G,let262,T25C8.1,T03F6.3,F35G12.2,ZK637.9,ch2p1-12,C16A3.10,Y37B11A.2,Y53G8B.2,Y54G2A.17,x,let262
H,x,Y43F4A.4,T03F6.5,B0303.3,Y39A1C.4,ch2p2-2,ZK370.4,Y55B1AL.3,Y22D7AL.8,C15H9.1,x,x
