Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F08A8.1,F56H6.5,Y63D3A.7,Y105E8A.12,Y110A7A.4,Y51F10.5,F21C3.2,F52A8.5,xF22D6.3,x,x
B,vbh1,F08A8.2,H28O16.1,xF39B2.3,ZC434.8,C06A5.11,Y65B4A.8,K06A5.6,T10E9.7,x,x,vbh1
C,cyc1,F08A8.3,T26E3.7,K03D10.3,Y47G6A.6,W10D5.2,xY71F9AL.5,C55B7.4,F57B10.3,x,x,cyc1
D,pap1,F08A8.4,W09C5.8,xY44E3A.2,C31H5.6,xY105E8A.4,Y48G1C.4,F30F8.2,F57B10.3,x,x,pap1
E,lv4440,F08A8.5,Y6B3B.5,T28F2.3,B0205.6,R06C1.2,K02F2.2,F13G3.5,C30F12.7,x,x,lv4440
F,ubq2,F08A8.6,Y6B3B.10,ZK524.3,F26H9.5,Y105E8A.20,R06C7.3,R11A5.4,H06O01.1,x,x,ubq2
G,let262,C47B2.2,Y6B3B.11,C41G7.4,F28B3.9,F57B10.14,F27D4.5,T10B11.1,F57B10.7,x,x,let262
H,x,C47B2.6,Y54E5A.1,K07A1.2,H27M09.2,Y37E3.3,R06C7.5,T10B11.2,W01A8.4,x,x,x
