Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F35H10.4,ZK593.1,C04H5.3,F32B6.2,C47E12.1,R09E10.3,B0035.5,F08G5.2,C08F11.8,Y57G11C.12,x
B,vbh1,T04B2.5,F13B12.4,W08D2.4,K04D7.3,C47E12.4,T25B9.10,C42C1.5,F08G5.5,F55B11.1,Y41E3.4,vbh1
C,cyc1,R11A8.3,F01D4.1,F13H10.4,C24F3.4,F01G4.2,R07H5.2,C42C1.11,H21P03.3,LLC1.3,F52B11.2,cyc1
D,pap1,R11A8.4,F01D4.2,F13H10.5,K08C7.5,F01G4.5,T11G6.1,VZK822L.1,F12F6.7,Y45F10D.4,Y45F10A.4,pap1
E,lv4440,R11A8.5,C28D4.2,C43F9.6,R102.4,T25B9.7,R07H5.8,ZK896.8,ZK795.1,W02A2.1,F26D10.10,lv4440
F,ubq2,R11A8.6,T13F2.1,F36H1.5,F01G10.1,C08F8.4,ZK792.1,F28D1.9,F58B3.5,B0513.5,T28F3.5,ubq2
G,let262,K01H12.2,C04G6.3,F36H1.6,F01G10.2,C47E12.8,C26H9A.1,F22B3.4,B0001.4,Y7A9A.1,C30H6.7,let262
H,x,R10H10.6,F01D4.8,K08C7.2,F01G10.3,Y43C5A.5,F35G2.4,F28D1.11,ZK809.3,Y57G11C.11,F11E6.1,x
