Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,xF26D10.10,T25B9.1,Y105C5B.2,xY38F2AL.4,F52D1.1,F25E2.3,C04F6.3,F52E4.1,F02E8.1,R07E4.4,x
B,vbh1,xT28F3.5,Y51H4A.7,C09G4.1,C54E4.3,T24C12.3,ZC53.6,C46C11.1,C52B9.1,C42D8.3,C09B8.1,vbh1
C,cyc1,xC30H6.7,ZC410.3,D2024.2,F02H6.5,T14F9.1,F19G12.2,Y71H10A.1,K10B3.7,F46H6.2,F35C8.5,cyc1
D,pap1,xF11E6.1,C06G3.7,Y73B6BL.29,xY54G2A.17,T14F9.3,T03G6.3,Y71H10A.2,K10B3.8,C31H2.4,C45B2.5,pap1
E,lv4440,xF11E6.5,Y4C6B.6,C28D4.3,C27D8.4,B0310.5,F35H12.4,K02G10.6,C52B9.7,C07A12.4,xC15H9.1,lv4440
F,ubq2,ZK829.2,Y24D9A.2,ZK829.4,Y38C1AA.11,C14E2.4,D1005.2,F56B6.4,K05B2.4,T03G11.4,F38B6.4,ubq2
G,let262,T14G10.1,Y37E11AR.5,Y66H1A.2,Y94H6A.4,T07D1.1,ZK563.6,T27A10.3,ZC8.1,C46F4.2,K03A1.5,let262
H,x,F19B6.1,Y38C1AA.3,F42G8.10,F09E10.3,R04B3.2,Y71H10B.1,F20B6.2,ZC8.6,R07E4.3,C15H9.7,x
