Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F28H1.3,C43E11.3,C44E4.3,F46F11.5,C24A11.9,T08B2.9,F25H5.3,F26E4.4,T24D1.4,M04D5.1,x
B,vbh1,W03F11.2,F53F10.2,B0041.6,C10H11.6,T09B4.8,C48E7.2,C36B1.3,F02E9.7,F59C6.5,F55A3.5,vbh1
C,cyc1,F23C8.5,W03D8.8,M01E11.1,F54D7.2,T05E7.1,C10G11.5,C36B1.7,F10D11.1,Y52B11C.1,B0019.1,cyc1
D,pap1,D1037.3,T03F1.3,B0025.1,T19B4.3,F27C1.7,T25G3.2,C34B7.2,F26E4.6,C25A1.7,T04D3.3,pap1
E,lv4440,D1037.5,T03F1.8,W09C3.4,T27A3.6,W03G9.6,K04G2.5,F26H9.4,F26E4.9,Y106G6E.4,T27F6.5,lv4440
F,ubq2,Y23H5A.7,W10C8.5,C32E12.2,F57C9.1,F54C1.1,W06D4.1,C04F12.10,F26E4.12,C34B2.7,T27F6.6,ubq2
G,let262,T12F5.4,Y44E3B.2,C10H11.3,F55A12.3,C32F10.8,ZK858.1,xxxxxxx,C17E4.9,C34B2.8,K11D2.2,let262
H,x,F32B5.1,C34G6.2,C10H11.5,F21F3.3,T08B2.7,K07A12.3,C12C8.2,F32H2.5,H25P06.1,W02D9.1,x
