Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,W07E6.3,T01D1.4,ZC239.7,R11F4.1,F11G11.9,EEED8.8,F58F12.1,C06A8.1,D1022.8,R09D1.1,x
B,vbh1,T13B5.3,xF56D12.1,C01F1.3,C17C3.1,ZK622.3,K05F1.3,R153.1,F43E2.2,DH11.1,R09D1.2,vbh1
C,cyc1,W09B6.1,B0432.5,ZK430.2,F59G1.7,F08B1.2,F13H8.7,E04F6.3,ZK1127.2,ZK1290.2,R09D1.3,cyc1
D,pap1,F28A10.6,H17B01.1,ZK430.3,C17C3.3,F09E5.2,F13H8.9,E04F6.5,ZK1127.10,C08B11.8,R09D1.5,pap1
E,lv4440,C23H3.4,T02H6.11,C17F4.6,C34F11.3,F09E5.3,C32D5.5,K06A1.6,T01H3.1,T05H10.6,T05C12.3,lv4440
F,ubq2,C23H3.7,xC33C12.3,W06B4.2,R12C12.1,R05F9.6,C27A2.4,T28D9.3,T02G5.7,W01C9.4,R09D1.6,ubq2
G,let262,C50D2.7,F34D6.4,F53C3.12,EGAP2.3,C29H12.1,F58A6.1,C44B7.7,T02G5.8,C18E9.4,R09D1.7,let262
H,x,T25D3.3,T10D4.3,F53C3.13,T16D1.2,C25H3.9,F59G1.1,B0228.7,T02G5.9,M176.8,R09D1.8,x
