Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F53F4.5,F53C11.3,Y49A3A.1,F21H7.9,T25E12.5,W07A8.2,R07B7.4,F32D8.12,T08B1.6,C06H2.4,x
B,vbh1,F53F4.10,F09F3.9,Y49A3A.2,F22B8.6,W06H3.2,Y44A6D.5,R07B7.11,F40F9.6,Y47D7A.14,C13C4.4,vbh1
C,cyc1,H37A05.1,C01G10.9,R10D12.12,T20B3.1,W06H3.3,T05H4.13,ZC455.4,F44G3.2,ZC513.5,D2023.4,cyc1
D,pap1,C15H11.8,C54G10.4,Y75B12B.6,T20B3.7,Y43F8B.4,K07B1.2,ZK836.2,ZC443.1,F52E1.8,C37H5.13,pap1
E,lv4440,H12D21.4,xT22G5.1,F28F8.2,F59A1.10,Y51A2D.13,F10C2.6,ZK863.3,C09H5.2,F08F3.4,T19H12.11,lv4440
F,ubq2,H12D21.7,T22G5.5,M01B2.6,W06D12.3,T03D8.5,F11A3.1,T01C2.1,F54D11.1,F18E3.7,H43I07.3,ubq2
G,let262,F23B12.5,T01G5.2,T06C12.10,xC47A10.5,T03D8.6,F28G4.1,ZC412.2,K11D12.4,R09B5.6,Y5H2B.5,let262
H,x,F23B12.6,C06B3.8,C29F3.1,F49H6.5,B0250.5,H19N07.4,W05E10.4,T05C3.6,K11C4.4,AC3.2,x
