Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F39B1.1,K09A9.5,ZC506.3,ZK563.7,Y49C4A.8,D2030.4,F27D4.1,F25H5.3,F39B2.3,F22E5.3,x
B,vbh1,B0395.3,F20B4.6,C25F6.3,R173.1,F56C11.1,D2030.5,F22D6.4,C34B7.2,ZC434.5,xR05F9.12,vbh1
C,cyc1,ZK54.2,K09A9.6,F27D9.5,R11G1.3,F53G12.3,W02D3.2,C54G4.8,xF25H2.5,Y44E3A.2,C05C10.1,cyc1
D,pap1,H13N06.3,K05G3.3,T13G4.4,ZC449.6,R12E2.11,M05B5.4,T10B11.2,F59C6.5,Y105E8A.4,R03D7.1,pap1
E,lv4440,H13N06.4,ZK455.1,F55G7.2,F49H12.6,T01A4.1,K04F10.4,F43G9.1,T04D3.4,Y71F9AL.5,F56D12.1,lv4440
F,ubq2,H13N06.6,ZK455.2,C08A9.1,x,C46H11.4,W02D3.6,F14B4.2,xF47G4.3,R07C3.4,xC33C12.3,ubq2
G,let363,C02C6.1,Y70D2A.2,F56F10.3,x,T25G3.4,ZC308.1,F14B4.3,xF47G4.7,F48A11.1,B0252.2,let363
H,x,W09B12.1,ZC373.1,R02E12.6,x,D2030.1,T23G11.2,K07A12.3,F33H2.5,xC33C12.8,xF42G9.5,x
