Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,x,x,x,x,x,x,x,x,x,x,x
B,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1,vbh1
C,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1,cyc1
D,pap1,pap1,pap1,pap1,pap1,pap1,pap1,pap1,pap1,pap1,pap1,pap1
E,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440,lv4440
F,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2,ubq2
G,let363,let363,let363,let363,let363,let363,let363,let363,let363,let363,let363,let363
H,x,x,x,x,x,x,x,x,x,x,x,x
