Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,B0348.4,F22F7.5,R08E5.2,K07C6.5,H23N18.1,C13D9.9,C14C11.3,C53A3.2,C54F6.14,VC5.4,x
B,vbh1,K04F1.15,T03D3.1,R08F11.1,T19H12.1,H23N18.2,W01A11.6,C03A7.11,F44E7.2,F43H9.1,T01C4.1,vbh1
C,cyc1,F31F4.7,C01B4.6,F39G3.1,D2063.1,H23N18.3,C10F3.3,C03A7.13,F08F3.2,F43H9.2,F10D2.2,cyc1
D,pap1,ZK1005.1,W02G9.1,F47C10.6,F32D1.2,xH23N18.4,C10F3.4,F25B4.1,T05H4.1,C55H1.1,F10D2.5,pap1
E,lv4440,C05E4.9,Y45G12B.1,H43I07.2,T19H12.6,C02E7.1,C18C4.3,F44C4.5,T05H4.4,F07G11.9,F10D2.6,lv4440
F,ubq2,T08B1.3,Y45G12B.3,C37H5.6,F32D1.5,T22F3.3,C04F5.7,F25B4.6,T15B7.2,ZC513.4,F10D2.7,ubq2
G,let262,xF59A7.7,T08H10.1,C37H5.8,T19H12.9,ZK40.1,F46E10.10,W02F12.2,T05H4.5,C03G6.14,F10D2.8,let262
H,x,F59A7.9,C49G7.8,C07G3.9,T19H12.10,W01A11.2,K04A8.10,W02F12.5,T05H4.7,C03G6.15,F10D2.9,x
