Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F10D2.11,B0331.1,F41E6.5,R04B5.6,F29F11.1,C03E10.4,K12G11.3,F57F5.2,F53F1.3,R186.6,x
B,vbh1,C26F1.2,T18H9.7,K06A4.5,C35A5.2,F29F11.2,D1054.13,R04F11.2,ZC443.5,R07B7.5,ZC116.2,vbh1
C,cyc1,F09G2.6,F52E1.10,C50F4.2,R04B5.9,C06H2.1,AC3.7,K12G11.4,ZC443.6,F54F3.4,W07G4.4,cyc1
D,pap1,F09G2.8,H14N18.4,T07C12.9,C08B6.4,T19B10.3,F55A11.5,R04F11.3,C44H9.1,C27A7.1,C56A3.8,pap1
E,lv4440,F21F8.3,K07B1.3,B0222.4,F32G8.6,B0024.12,D2023.2,F58H1.3,F10C2.4,C27A7.3,T04H1.7,lv4440
F,ubq2,C05C8.7,K07B1.4,K08H10.4,T11F9.11,B0024.13,D2023.5,ZC455.3,T07F10.1,C27A7.5,T04H1.8,ubq2
G,let262,F26D11.1,K07B1.5,T06E8.1,T21C9.6,K07C5.5,R13H4.3,ZC455.6,M04G12.3,F25H9.6,B0365.1,let262
H,x,T18H9.2,F25G6.6,Y32F6A.3,ZK856.10,B0240.3,R11D1.11,C52E4.5,F53F1.2,R186.4,B0365.3,x
