Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,C31C9.2,Y48B6A.12,B0252.2,ZK673.2,K02F3.6,T24A11.1,M88.1,C26E6.4,F48E8.3,F09F7.4,x
B,vbh1,Y17G7B.7,Y48B6A.13,Y46G5A.17,E01F3.1,M01F1.1,W06E11.1,C03C10.3,C16C10.10,F17C8.1,F54D8.4,vbh1
C,cyc1,W09H1.5,Y54G11A.5,ZK669.4,C17C3.12,T24C4.1,C36A4.4,ZC395.10,F10F2.2,F54D8.2,T10F2.1,cyc1
D,pap1,F01D5.9,Y54G11A.6,ZK892.4,Y17G7B.3,T24C4.5,C36A4.9,F35G12.1,R74.1,F09F7.3,R07E5.2,pap1
E,lv4440,W01G7.3,R06A4.8,K12H6.11,Y48E1B.3,F23H11.3,F53A3.2,F35G12.10,C26E6.9,B0285.8,C05D2.4,lv4440
F,ubq2,C09F9.3,K10H10.2,D2089.5,R53.2,F23H11.9,ZK1058.6,F52C9.3,C26E6.11,B0285.9,K10D2.6,ubq2
G,let262,K09E4.2,C01G12.8,F44G4.2,F42G9.5,C46F11.2,C34E10.4,F26F4.10,T04A8.5,B0285.10,K04G7.4,let262
H,x,Y48B6A.7,F19H8.1,F54D5.7,W05G11.6,C14B1.1,ZC395.2,F26F4.11,T04A8.7,F54D8.3,ZC155.4,x
