Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,B0280.3,F37C12.3,K04C2.2,F57B9.1,T26A5.7,ZK783.2,C02C2.1,R05D3.11,R01H10.7,K03H1.1,x
B,vbh1,T12A2.1,F37C12.7,T20H4.5,C05D11.7,T26A5.8,ZK643.2,C02C2.5,T23G5.1,T07C4.1,M03C11.4,vbh1
C,cyc1,T12A2.2,F01F1.6,C16A3.5,C05D11.11,R01H2.5,R08D7.6,C29E4.8,R10E11.1,K11H3.1,T21C12.2,cyc1
D,pap1,F20H11.3,xF01F1.12,F25B5.3,xC05D11.12,H14A12.2,R08D7.7,ZK370.4,C40H1.4,B0464.1,F58A4.4,pap1
E,lv4440,F20H11.5,R151.5,F25B5.6,T26A5.3,ZK353.6,F59B2.3,F54G8.2,R10E11.2,K11H3.3,F58A4.9,lv4440
F,ubq2,C13B9.2,C56G2.6,B0361.5,F08F8.2,K12H4.7,F22B7.6,F54H12.1,R10E11.8,F55H2.1,ZK1128.2,ubq2
G,let262,W03A3.2,C28H8.11,B0361.7,T26A5.4,ZK637.8,F02A9.4,ZC262.5,R01H10.1,F55H2.2,T05G5.6,let262
H,x,K10D2.7,T20H4.3,B0361.8,T26A5.5,C14B9.2,xZK652.9,R05D3.6,F54C8.1,T07C4.7,T20G5.2,x
