Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,F29C4.2,Y66H1B.4,T26C12.4,T22B11.5,H04M03.1,K08B4.3,F58F9.1,C06A6.4,C10C5.3,C33A12.1,x
B,vbh1,R02D3.1,T07A9.2,W03B1.4,K08F11.4,C01B10.3,K08B4.4,C50F7.4,C49H3.1,C10C5.4,C33A12.6,vbh1
C,cyc1,Y55H10A.1,T07A9.6,R11E3.4,xK08F11.4,R05G6.5,xC17H12.14,C50F7.10,D2096.3,C53B4.7,C33A12.7,cyc1
D,pap1,R02D3.5,M57.2,F41H10.7,F36A4.7,K02B2.1,D2024.3,F58F9.7,D2096.4,C10C5.5,F08B4.5,pap1
E,lv4440,F56B3.5,ZC416.6,F41H10.8,E04A4.7,R05G6.8,F33D4.4,T12B3.3,T01B11.2,F42G8.6,F21D5.1,lv4440
F,ubq2,F56B3.7,W03G1.7,K08D10.2,C45E5.2,F49E8.4,T05A12.2,T13A10.11,T01B11.4,F42A9.1,F56H11.3,ubq2
G,let262,C04C3.3,ZC416.8,C02B10.1,C06E7.1,F49E8.5,T22D1.3,C06G3.5,F49C12.13,F59B8.2,F56H11.4,let262
H,x,K02D7.1,M02B7.4,T12E12.4,C06E7.3,C42D4.8,C49A9.8,C33H5.18,T20D3.8,F38E11.3,F20C5.1,x
