Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12
A,x,H22K11.1,W01C8.6,K09F5.5,F47A4.5,M02D8.4,C49F5.5,R07E3.5,F54F7.7,T22H6.2,C37E2.1,x
B,vbh1,H22K11.2,C53B7.4,F49E2.1,C03G5.1,ZK721.1,W06B3.1,W06D11.4,C49F5.1,C29F7.3,F14F4.3,vbh1
C,cyc1,C07D8.6,F48E3.1,D1009.1,K07E3.3,ZC373.5,VW06B3R.1,D1053.1,C49F5.2,K02A4.1,xF55F3.3,cyc1
D,pap1,C54G7.2,F08C6.2,C11E4.1,K07E3.4,B0272.3,F47B10.1,C34F6.8,D1025.2,xF15A2.2,F59F4.4,pap1
E,lv4440,T13C5.1,K10C2.4,C11E4.2,C17G1.3,B0272.4,F47B10.2,F42F12.3,T07C5.1,C05G5.4,T08G2.3,lv4440
F,ubq2,C14F11.1,F08C6.6,R03G5.5,C17G1.7,W07E11.1,T21B6.2,F42F12.4,F46G10.3,VF11C1L.1,T25G12.5,ubq2
G,let262,T21F4.1,xC44E12.1,C39D10.3,B0416.6,F31B12.1,F41E7.6,F38B2.4,F46G10.7,R01E6.3,T10B10.2,let262
H,x,M03A8.1,B0403.4,C24A3.4,T20B5.3,T06H11.4,M153.1,F13E6.5,F22E10.5,F28H6.3,T01C8.5,x
