Model,Trees,Branches,Sigma,Feature_Importance,Category,Eigen_sigma
20230113_200_trees_10_branches.joblib,200,10,2,0.233647,Intensity,Intensity_2
20230113_200_trees_10_branches.joblib,200,10,4,0.155574,Intensity,Intensity_4
20230113_200_trees_10_branches.joblib,200,10,8,0.132617,Intensity,Intensity_8
20230113_200_trees_10_branches.joblib,200,10,16,0.0790513,Intensity,Intensity_16
20230113_200_trees_12_branches.joblib,200,12,1,0.289986,Intensity,Intensity_1
20230113_200_trees_12_branches.joblib,200,12,2,0.221414,Intensity,Intensity_2
20230113_200_trees_12_branches.joblib,200,12,4,0.184112,Intensity,Intensity_4
20230113_200_trees_12_branches.joblib,200,12,8,0.123435,Intensity,Intensity_8
20230113_200_trees_12_branches.joblib,200,12,16,0.0917195,Intensity,Intensity_16
20230113_200_trees_14_branches.joblib,200,14,1,0.331021,Intensity,Intensity_1
20230113_200_trees_14_branches.joblib,200,14,2,0.172578,Intensity,Intensity_2
20230113_200_trees_14_branches.joblib,200,14,4,0.184644,Intensity,Intensity_4
20230113_200_trees_14_branches.joblib,200,14,8,0.0972669,Intensity,Intensity_8
20230113_200_trees_14_branches.joblib,200,14,16,0.0940909,Intensity,Intensity_16
20230113_60_trees_10_branches.joblib,60,10,1,0.291581,Intensity,Intensity_1
20230113_60_trees_10_branches.joblib,60,10,2,0.232602,Intensity,Intensity_2
20230113_60_trees_10_branches.joblib,60,10,4,0.177544,Intensity,Intensity_4
20230113_60_trees_10_branches.joblib,60,10,8,0.113754,Intensity,Intensity_8
20230113_60_trees_10_branches.joblib,60,10,16,0.0661679,Intensity,Intensity_16
